id,text,airline,topic,gamma
5,and it's a really big bad thing about it,Virgin America,8,0.19647307646236797
6,seriously would pay $ a flight for seats that didn't have this playing. it's really the only bad thing about flying VA,Virgin America,3,0.2402099485381161
16,SFO-PDX schedule is still MIA.,Virgin America,6,0.2315709464027964
18,I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!,Virgin America,2,0.28581557079991543
21,why are your first fares in May over three times more than other carriers when all seats are available to select???,Virgin America,3,0.3536607034235168
25,you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet,Virgin America,3,0.30101577856248984
26,status match program. I applied and it's been three weeks. Called and emailed with no response.,Virgin America,7,0.3617471806279669
27,What happened ur vegan food options?! At least say on ur site so i know I won't be able eat anything for next hrs #fail,Virgin America,3,0.2377207212379238
29,amazing to me that we can't get any cold air from the vents. #VX #noair #worstflightever #roasted #SFOtoBOS,Virgin America,1,0.21641205747512748
31,"hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢",Virgin America,3,0.36929081763792526
33,"help, left expensive headphones on flight IAD to LAX today. Seat A. No one answering L;F number at LAX!",Virgin America,6,0.37932548902841123
34,"awaiting my return phone call, just would prefer to use your online self-service option :(",Virgin America,3,0.44714278444701144
40,Your chat support is not working on your site:,Virgin America,3,0.27383527503771665
42,"Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?",Virgin America,3,0.4499958946032101
56,hi! i'm so excited about your $ LGA-gt;DAL deal- but i've been trying book since last week ; the page never loads. thx!,Virgin America,6,0.1818412080791811
62,I called a - weeks ago about adding flights from to my Elevate...they still haven't shown up...help!,Virgin America,3,0.32674658165291626
67,heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/,Virgin America,3,0.43100716467597994
68,"Hi, Virgin! I'm on hold for - minutes -- are there any earlier flights from LA to NYC tonight; earlier than :pm?",Virgin America,3,0.2866630811649836
70,everything was fine until you lost my bag,Virgin America,6,0.34803547215553404
74,your airline is awesome but your lax loft needs to step up its game. $ for dirty tables and floors?,Virgin America,6,0.2865454179343091
79,what is going on with customer service? Is there anyway to speak to a human asap? Thank you.,Virgin America,4,0.24485824547959367
81,why can't you supp the biz traveler like and have customer service like #neverflyvirginforbusiness,Virgin America,8,0.3037928482536708
83,you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(,Virgin America,3,0.27355624198943523
84,I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness,Virgin America,5,0.20672243349422698
85,it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin,Virgin America,8,0.23590166536570545
86,I’m having trouble adding this flight my wife booked to my Elevate account. Help?,Virgin America,3,0.3057636752416794
90,Why is the site down? When will it be back up?,Virgin America,3,0.3308892115963537
93,I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .,Virgin America,5,0.3417037609136332
94,"just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin",Virgin America,6,0.3643025239321642
